Facility_Name,Reg_No,Address,Facility_Type,Level,Bed_Capacity,County,status,View
BANITA DISPENSARY,GK-xxx,P.O BOX 159-20100 NAKURU,DISPENSARY,LEVEL 2,0,NAKURU,Active,
BARARGET DISPENSARY,GK-xxx,P.O BOX 19-20131 KERINGET,DISPENSARY,LEVEL 2,0,NAKURU,Active,
KAMBURU DISPENSARY,GK-xxx,P.O BOX PRIVATE BAG - MATATHIA,DISPENSARY,LEVEL 2,0,KIAMBU,Active,
TIGONI SUB-COUNTY  HOSPITAL,GK-xxx,P.O BOX 124-00217 LIMURU,HOSPITAL LEVEL 4,LEVEL 4,84,KIAMBU,Active,
NAJILE DISPENSARY,GK-xxx,P.O BOX 1195-00208 KAGAENE,DISPENSARY,LEVEL 2,0,KAJIADO,Active,
GITWAMBA HEALTH CENTRE,GK-xxx,P.O BOX 4211-30200 KITALE,HEALTH CENTRE,LEVEL 3A,6,TRANS NZOIA,Active,
CHEMAMIT DISPENSARY,GK-xxx,P.O BOX 69-20401 CHEBUNYO,DISPENSARY,LEVEL 2,0,NAROK,Active,
KAMARANDI DISPENSARY,GK-xxx,P.O BOX 72-60200 MERU,DISPENSARY,LEVEL 2,0,THARAKA NITHI,Active,
RUKENYA DISPENSARY,GK-xxx,P.O BOX 8-60400 CHUKA,DISPENSARY,LEVEL 2,0,THARAKA NITHI,Active,
CENGALO DISPENSARY,GK-xxx,P.O BOX 158-30102 BURNT FOREST,DISPENSARY,LEVEL 2,0,UASIN GISHU,Active,
KANZAU DISPENSARY,GK-xxx,P.O BOX 52-90204 KISASI,DISPENSARY,LEVEL 2,0,KITUI,Active,
SYUMILE DISPENSARY,GK-xxx,P.O BOX 81-90138 MAKINDU,DISPENSARY,LEVEL 2,0,MAKUENI,Active,
KAPKITONY DISPENSARY,GK-xxx,P.O BOX 347-30100 ELDORET,DISPENSARY,LEVEL 2,0,ELGEYO/ MARAKWET,Active,
KAPTEREN HEALTH CENTRE,GK-xxx,P.O BOX 81-30700 ITEN,HEALTH CENTRE,LEVEL 3A,6,ELGEYO/ MARAKWET,Active,
LELBOINET HEALTH CENTRE,GK-xxx,P.O BOX 74-30129 CHEPKORIO,HEALTH CENTRE,LEVEL 3A,6,ELGEYO/ MARAKWET,Active,
GATIMBI HEALTH CENTRE,GK-xxx,P.O BOX 1839-60200 MERU,HEALTH CENTRE,LEVEL 3A,30,MERU,Active,
KIONYO HEALTH CENTRE,GK-xxx,P.O BOX 21-40203 NYAMACHE,HEALTH CENTRE,LEVEL 3A,6,KISII,Active,
MAGENA DISPENSARY,GK-xxx,P.O BOX 6-40204 OGEMBO,DISPENSARY,LEVEL 2,0,KISII,Active,
NZAINI DISPENSARY,GK-xxx,P.O BOX 822-90100 MACHAKOS,DISPENSARY,LEVEL 2,0,MACHAKOS,Active,
TULILA DISPENSARY,GK-xxx,P.O BOX 65-90135 IKALAASA,DISPENSARY,LEVEL 2,0,MACHAKOS,Active,
MAWELI DISPENSARY,GK-xxx,P.O BOX 133-90102 MWALA,DISPENSARY,LEVEL 2,0,MACHAKOS,Active,
YATHUI DISPENSARY,GK-xxx,P.O BOX 1-90103 WAMUNYU,DISPENSARY,LEVEL 2,0,MACHAKOS,Active,
UMALA DISPENSARY,GK-xxx,P.O BOX 650-40600 SIAYA,DISPENSARY,LEVEL 2,0,SIAYA,Active,
LIDHA DISPENSARY,GK-xxx,P.O BOX 49-40602 NDORI,DISPENSARY,LEVEL 2,0,SIAYA,Active,
KIRIBA DISPENSARY,GK-xxx,P.O BOX 10-20400 BOMET,DISPENSARY,LEVEL 2,0,BOMET,Active,
MOGOGOSIEK HEALTH CENTRE,GK-xxx,P.O BOX 99-20403 MOGOGOSIEK,HEALTH CENTRE,LEVEL 3A,6,BOMET,Active,
KITOBEN DISPENSARY,GK-xxx,P.O BOX 393-20400 BOMET,DISPENSARY,LEVEL 2,0,BOMET,Active,
KIMAWIT-USWET DISPENSARY,GK-xxx,P.O BOX 66-20227 SOTIK,DISPENSARY,LEVEL 2,0,BOMET,Active,
KIMAYA DISPENSARY,GK-xxx,P.O BOX 22-20230 SIONGIROI,DISPENSARY,LEVEL 2,0,BOMET,Active,
SLUGORWET DISPENSARY,GK-xxx,P.O BOX 70-20422 SILIBWET,DISPENSARY,LEVEL 2,0,BOMET,Active,
OLOKYIN HEALTH CENTRE,GK-xxx,P.O BOX 89-20424 OLOOMIRANI,HEALTH CENTRE,LEVEL 3A,6,BOMET,Active,
NYACHE HEALTH CENTRE,GK-xxx,P.O BOX 31-80300 VOI,HEALTH CENTRE,LEVEL 3A,8,TAITA TAVETA,Active,
NDAMICHONIK DISPENSARY,GK-xxx,P.O BOX 172-20406 SOTIK,DISPENSARY,LEVEL 2,0,BOMET,Active,
SHIRU HEALTH CENTRE,GK-xxx,P.O BOX 192-50305 KAIMOSI,HEALTH CENTRE,LEVEL 3A,6,VIHIGA,Active,
ENZARO HEALTH CENTRE,GK-xxx,P.O BOX 209-50300 MARAGOLI,HEALTH CENTRE,LEVEL 3A,6,VIHIGA,Active,
KIBISI DISPENSARY,GK-xxx,P.O BOX 200-50211 NAITIRI,DISPENSARY,LEVEL 2,0,BUNGOMA,Active,
VIHIGA COUNTY REFERRAL HOSPITAL,GK-xxx,P.O BOX 1069-50300 MARAGOLI,HOSPITAL LEVEL 4,LEVEL 4,160,VIHIGA,Active,
SERENG DISPENSARY,GK-xxx,P.O BOX 63-20209 FORT-TERNAN,DISPENSARY,LEVEL 2,0,KERICHO,Active,
SABOTI SUB COUNTY HOSPITAL,GK-xxx,P.O BOX 3044-30200 KITALE,HOSPITAL LEVEL 4,LEVEL 4,30,TRANS NZOIA,Active,
KIPSEGEI DISPENSARY,GK-xxx,P.O BOX 72-20202 KIPKELION,DISPENSARY,LEVEL 2,0,KERICHO,Active,
KIPWASTUIYO HEALTH CENTRE,GK-xxx,P.O BOX 781-20210 LITEIN,HEALTH CENTRE,LEVEL 3A,9,KERICHO,Active,
MOMONIAT HEALTH CENTRE,GK-xxx,P.O BOX 72-20202 KIPKELION,DISPENSARY,LEVEL 2,0,KERICHO,Active,
KAPSARA SUB-COUNTY HOSPITAL,GK-xxx,P.O BOX 2334-30200 KITALE,HOSPITAL LEVEL 4,LEVEL 4,30,TRANS NZOIA,Active,
NASIANDA DISPENSARY(TRANS-NZOIA),GK-xxx,P.O BOX 76-30200 KITALE,DISPENSARY,LEVEL 2,0,TRANS NZOIA,Active,
ORONGO DISPENSARY,GK-xxx,P.O BOX 486-40100 KISUMU,DISPENSARY,LEVEL 2,0,KISUMU,Active,
F.I.T.C DISPENSARY,GK-xxx,P.O BOX 145-20100 NAKURU,DISPENSARY,LEVEL 2,0,NAKURU,Active,
ESHIBINGA HEALTH CENTRE,GK-xxx,P.O BOX 31-50135 KHWISERO,HEALTH CENTRE,LEVEL 3A,6,KAKAMEGA,Active,
MAGINA HEALTH CENTRE,GK-xxx,P.O BOX 169-40101 AHERO,HEALTH CENTRE,LEVEL 3A,6,KISUMU,Active,
ESAGERI HEALTH CENTRE,GK-xxx,P.O BOX 1088-20103 ELDAMA RAVINE,HEALTH CENTRE,LEVEL 3A,6,BARINGO,Active,
ESHIKALAME DISPENSARY,GK-xxx,P.O BOX 542-50102 MUMIAS,DISPENSARY,LEVEL 2,0,KAKAMEGA,Active,
BUKAYA HEALTH CENTRE,GK-xxx,P.O BOX 307-50102 MUMIAS,HEALTH CENTRE,LEVEL 3A,8,KAKAMEGA,Active,
TIMBOROA  HEALTH CENTRE,GK-xxx,P.O BOX 163-30108 TIMBOROA,HEALTH CENTRE,LEVEL 3A,6,BARINGO,Active,
RANGWE SUB-COUNTY HOSPITAL,GK-xxx,P.O BOX 5-40303 RANGWE,HOSPITAL LEVEL 4,LEVEL 4,150,HOMA BAY,Active,
OBWANDA DISPENSARY,GK-xxx,P.O BOX 24-40311 NYANGWESO,DISPENSARY,LEVEL 2,0,HOMA BAY,Active,
KOITEBES DISPENSARY,GK-xxx,P.O BOX 638-20105 MOGOTIO,DISPENSARY,LEVEL 2,0,BARINGO,Active,
MUKHUYU DISPENSARY,GK-xxx,P.O BOX 150-50103 MALAVA,DISPENSARY,LEVEL 2,0,KAKAMEGA,Active,
PALA DISPENSARY,GK-xxx,P.O BOX 47-40317 KOJWANG,DISPENSARY,LEVEL 2,0,HOMA BAY,Active,
ELUCHE DISPENSARY,GK-xxx,P.O BOX 110-50102 MUMIAS,DISPENSARY,LEVEL 2,0,KAKAMEGA,Active,
MAKUNGA RURAL HEALTH DEMONSTRATION CENTRE,GK-xxx,P.O BOX 1681-50100 KAKAMEGA,HEALTH CENTRE,LEVEL 3A,6,KAKAMEGA,Active,
SANGO DISPENSARY,GK-xxx,P.O BOX 219-30106 TURBO,DISPENSARY,LEVEL 2,0,KAKAMEGA,Active,
KWAMBOO DISPENSARY,GK-xxx,P.O BOX 19-90100 MACHAKOS,DISPENSARY,LEVEL 2,0,MACHAKOS,Active,
MMANGANI DISPENSARY,GK-xxx,P.O BOX 4-80200 MALINDI,DISPENSARY,LEVEL 2,0,KILIFI,Active,
KAVUNYALALO DISPENSARY-MALINDI,GK-xxx,P.O BOX 4-80200 MALINDI,DISPENSARY,LEVEL 2,0,KILIFI,Active,
ARBAQUERANSO DISPENSARY,GK-xxx,P.O BOX 2-70200 WAJIR,DISPENSARY,LEVEL 2,0,WAJIR,Active,
HARADE DISPENSARY,GK-xxx,P.O BOX 2- HARADE,DISPENSARY,LEVEL 2,0,WAJIR,Active,
TANGUL DISPENSARY,GK-xxx,P.O BOX 152-30705 KAPSOWAR,DISPENSARY,LEVEL 2,0,ELGEYO/ MARAKWET,Active,
KIBAOKICHE DISPENSARY,GK-xxx,P.O BOX 67- KALOLENI,DISPENSARY,LEVEL 2,0,KILIFI,Active,
MANDA DISPENSARY - LAMU,GK-xxx,P.O BOX 45-80500 LAMU,DISPENSARY,LEVEL 2,0,LAMU,Active,
WIYONI DISPENSARY,GK-xxx,P.O BOX 45-80500 LAMU,DISPENSARY,LEVEL 2,0,LAMU,Active,
MABWAITA DISPENSARY,GK-xxx,P.O BOX 319-20406 SOTIK,DISPENSARY,LEVEL 2,0,BOMET,Active,
IVINGANZIA DISPENSARY,GK-xxx,P.O BOX 4-90304 MAKUENI,DISPENSARY,LEVEL 2,0,MAKUENI,Active,
NENTONAI DISPENSARY,GK-xxx,P.O BOX 31- KAJIADO,DISPENSARY,LEVEL 2,0,KAJIADO,Active,
MUSANGO DISPENSARY,GK-xxx,P.O BOX 158-50106 SHIANDA,DISPENSARY,LEVEL 2,0,KAKAMEGA,Active,
ELWAKANA DISPENSARY,GK-xxx,P.O BOX 158-50106 SHIANDA,DISPENSARY,LEVEL 2,0,KAKAMEGA,Active,
ALIGULA DISPENSARY,GK-xxx,P.O BOX 142- SOY,DISPENSARY,LEVEL 2,0,KAKAMEGA,Active,
GOD AGULU HEALTH CENTRE,GK-xxx,P.O BOX 141-40222 OYUGIS,BASIC HEALTH CENTRE,LEVEL 3B,10,HOMA BAY,Active,
KASARANI DISPENSARY,GK-xxx,P.O BOX 129- GILGIL,DISPENSARY,LEVEL 2,0,NAKURU,Active,
NYS DISPENSARY-GILGIL,GK-xxx,P.O BOX 3- GILGIL,DISPENSARY,LEVEL 2,0,NAKURU,Active,
EDGEWOOD DISPENSARY,GK-xxx,P.O BOX 150- SUBUKIA,DISPENSARY,LEVEL 2,0,NAKURU,Active,
KITI DISPENSARY,GK-xxx,P.O BOX 280-20100 NAKURU,DISPENSARY,LEVEL 2,0,NAKURU,Active,
GK PRISON ANNEX DISPENSARY,GK-xxx,P.O BOX 146-20117 NAIVASHA,DISPENSARY,LEVEL 2,0,NAKURU,Active,
MIAMBA DISPENSARY,GK-xxx,P.O BOX 200-80403 KWALE,DISPENSARY,LEVEL 2,0,KWALE,Active,
RATANGA HEALTH CENTRE,GK-xxx,P.O BOX 147-40302 NDHIWA,BASIC HEALTH CENTRE,LEVEL 3B,0,HOMA BAY,Active,
KIPSINENDE DISPENSARY,GK-xxx,P.O BOX 59-20209 FORT TERNAN,DISPENSARY,LEVEL 2,0,KERICHO,Active,
KALYET DISPENSARY,GK-xxx,P.O BOX 113-20203 LONDIANI,DISPENSARY,LEVEL 2,0,KERICHO,Active,
NAIROBI OUTPATIENT CENTRE,000xxx,P.O BOX 53665-00200 NAIROBI,NURSING HOME,LEVEL 3A,30,NAIROBI,Active,
MAMA WAKESHO MEDICAL CLINIC LIMITED,002xxx,P.O BOX 12657-00400 NAIROBI,DISPENSARY,LEVEL 2,0,MACHAKOS,Active,
GARISSA  CHILDRENS HOSPITAL LTD,003xxx,P.O BOX 514-70100 GARISSA,NURSING HOME,LEVEL 3A,16,GARISSA,Active,
OASIS SPECIALIST HOSPITAL,003xxx,P.O BOX 1574-40200 KISII,Hospital Level 5,LEVEL 5,120,KISII,Active,
NOPRI MEDICAL CLINIC,003xxx,P.O BOX 80-60100 EMBU,MEDICAL CLINIC,LEVEL 2,0,KIAMBU,Active,
DR SN KARAU & ASSOCIATES CLINIC,004xxx,P.O BOX 56655-00200 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
THAYU MEDICAL CLINIC,004xxx,P.O BOX 1417-20100 NAKURU,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
ACOUSTIC HEARING CENTER,007xxx,P.O BOX 43954-00100 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
DENTAL ACCESS NAIROBI CLINIC,007xxx,P.O BOX 51215-00100 NAIROBI,DENTAL CLINIC,LEVEL 2,0,NAIROBI,Active,
TAIFA ROYAL DIAGNOSTIC MEDICAL CLINIC,007xxx,P.O BOX 1- MIKINDURI,MEDICAL CLINIC,LEVEL 2,0,MERU,Active,
HURUMA NELLY MEDICARE CENTRE,013xxx,P.O BOX 6752-00300 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
LIFESPRING MEDICARE,014xxx,P.O BOX 6-00521 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
ZURRI COTTAGE HEALTHCARE,014xxx,P.O BOX 514-50400 BUSIA,MEDICAL CLINIC,LEVEL 2,0,BUSIA,Active,
OVI CHILDREN\'S HOSPITAL,014xxx,P.O BOX 1104-40400 SUNA MIGORI,NURSING HOME,LEVEL 3A,60,MIGORI,Active,
OPTIMUM HILL MEDICAL CENTRE,014xxx,P.O BOX 25-50205 WEBUYE,NURSING HOME,LEVEL 3A,25,BUNGOMA,Active,
EQUITY AFIA MURANGA,015xxx,P.O BOX 2925-01000 THIKA,MEDICAL CENTRE,LEVEL 3B,0,MURANG'A,Active,
EDEN DENTAL CLINIC NAKURU,015xxx,P.O BOX 12576-20100 NAKURU,DENTAL CLINIC,LEVEL 2,0,NAKURU,Active,
ALPHA DENTAL SERVICES KITALE,015xxx,P.O BOX 2555-30200 KITALE,DENTAL CLINIC,LEVEL 2,0,TRANS NZOIA,Active,
HAAB MEDICAL CENTRE,015xxx,P.O BOX 28-70301 ELWAK,NURSING HOME,LEVEL 3A,24,MANDERA,Active,
UNGOE COMMUNITY MEDICAL AND DENTAL CLINIC,015xxx,P.O BOX 89-40404 SORI-KARUNGU,MEDICAL CENTRE,LEVEL 3B,35,MIGORI,Active,
LAVINGTON GREEN DENTAL SUITE LIMITED,015xxx,P.O BOX 27501-00100 NAIROBI,DENTAL CLINIC,LEVEL 2,0,NAIROBI,Active,
GRAYS MEDICAL CENTRE LIMITED,016xxx,P.O BOX 9505-40141 KISUMU,NURSING HOME,LEVEL 3A,24,KISUMU,Active,
GICHEM MEDICARE,016xxx,P.O BOX 794-80300 VOI,MEDICAL CLINIC,LEVEL 2,0,TAITA TAVETA,Active,
KISIMA DIAGNOSTIC AND TREATMENT CENTRE LIMITED,016xxx,P.O BOX 1181- ONGATA RONGAI,MEDICAL CENTRE,LEVEL 3B,10,KAJIADO,Active,
MURERA LIFEZONE CLINIC,016xxx,P.O BOX 74-60103 RUNYENJES,MEDICAL CLINIC,LEVEL 2,0,KIAMBU,Active,
RIMA SERENE MEDICAL CENTRE,016xxx,P.O BOX 95535-80106 NYALI,NURSING HOME,LEVEL 3A,10,MOMBASA,Active,
MUKTAR DADAH MEDICARE AND LABORATORY SERVICES,016xxx,P.O BOX 384-70200 WAJIR,MEDICAL CLINIC,LEVEL 2,0,WAJIR,Active,
GATE PRIDE PHARMACY AND MEDICAL CLINIC,016xxx,P.O BOX 254-70300 MANDERA,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
IMANI BRIDGEVALL HOSPITAL,016xxx,P.O BOX 17166-00100 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
EQUITY AFIA MEDICAL CENTRE NYERI,016xxx,P.O BOX 974-10100 NYERI,MEDICAL CENTRE,LEVEL 3B,0,NYERI,Active,
BEDENS HEALTHCARE KAPCHEROP,017xxx,P.O BOX 59-30204 KAPCHEROP,MEDICAL CLINIC,LEVEL 2,0,ELGEYO/ MARAKWET,Active,
TRANSNZOIA MEDICAL CLINIC LTD,017xxx,P.O BOX 5800-30200 ELDORET,MEDICAL CENTRE,LEVEL 3B,0,TRANS NZOIA,Active,
HARERI HEALTHCARE SERVICES LTD,017xxx,P.O BOX 68946-00622 NAIROBI,NURSING HOME,LEVEL 3A,30,MANDERA,Active,
UZIMA HOSPITAL,017xxx,P.O BOX 20-80503  MPEKETONI,MEDICAL CLINIC,LEVEL 2,0,LAMU,Active,
HIGHRISE HEALTH CARE SERVICES,017xxx,P.O BOX 254716153318-60100 EMBU,MEDICAL CLINIC,LEVEL 2,0,EMBU,Active,
DR. NARESH SARNA KIPRO CENTRE,017xxx,P.O BOX 120-20100 NAKURU,DENTAL CLINIC,LEVEL 2,0,NAIROBI,Active,
BARPELLO CATHOLIC DISPENSARY,017xxx,P.O BOX 47-30403 MARIGAT,FAITH BASED DISPENSARY,LEVEL 2,0,BARINGO,Active,
STEHAD MEDICAL CLINIC,018xxx,P.O BOX 69-10200 MURANGA,MEDICAL CLINIC,LEVEL 2,0,MURANG'A,Active,
EASTLIFE HOSPITAL LIMITED,018xxx,P.O BOX 1023-40200 KISII,NURSING HOME,LEVEL 3A,135,KISII,Active,
JOMVU MIKANJUNI CLINIC,018xxx,P.O BOX 97372-80100 MOMBASA,MEDICAL CLINIC,LEVEL 2,0,MOMBASA,Active,
KOSITEI CATHOLIC DISPENSARY,018xxx,P.O BOX 47-30403 MARIGAT,DISPENSARY,LEVEL 2,0,BARINGO,Active,
UMOJA MODERN MEDICAL CENTRE,018xxx,P.O BOX 5617-00100 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
SAVANNAH ROYAL HOSPITAL GARISSA LIMITED,019xxx,P.O BOX 20617-00100 NAIROBI,HOSPITAL LEVEL 4,LEVEL 4,65,GARISSA,Active,
EQUITY AFIA HOLA,019xxx,P.O BOX 38- HOLA,MEDICAL CENTRE,LEVEL 3B,12,TANA RIVER,Active,
JAKES NURSING HOME,019xxx,P.O BOX 91- SIAYA,MEDICAL CLINIC,LEVEL 2,0,SIAYA,Active,
ST. LUKE UPSTATE MEDICAL CLINIC,019xxx,P.O BOX 330- NAIROBI,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
KILIWE NURSING HOME LIMITED,019xxx,P.O BOX 115-70300 MANDERA,NURSING HOME,LEVEL 3A,30,MANDERA,Active,
SKOVIC HEALTH CARE SERVICES LTD - KOPSIRO,019xxx,P.O BOX 83-50203 KAPSOKWONY,MEDICAL CENTRE,LEVEL 3B,20,BUNGOMA,Active,
COPING MENTAL WELLNESS CENTRE,019xxx,P.O BOX 37390-00100 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,KIAMBU,Active,
DANASA NURSING HOME LIMITED,019xxx,P.O BOX 309-70300 MANDERA,NURSING HOME,LEVEL 3A,25,MANDERA,Active,
MARINA HEALTHCARE-ROYAL MEDIA SERVICES CLINIC,019xxx,P.O BOX 2502-00606 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
ITIERIO MATERNITY AND NURSING HOME,020xxx,P.O BOX 874-40200 KISII,HOSPITAL LEVEL 4,LEVEL 4,87,KISII,Active,
HEALTH QUEST MEDICARE CLINIC,020xxx,,MEDICAL CLINIC,LEVEL 2,0,NYERI,Active,
MYER KIDNEY & HEALTH SPECIALITIES HOSPITAL,020xxx,P.O BOX 20505-00200 NAIROBI,SPECIALIZED TREATMENT CENTRE (LEVEL 4B),LEVEL 4B,50,NAIROBI,Active,
BLESSED IRENE NYAATHA HEALTH CENTRE GIAKAIBII,020xxx,P.O BOX 1216-10101 KARATINA,BASIC HEALTH CENTRE,LEVEL 3B,0,NYERI,Active,
EAST -CLIFF MEDICAL CENTRE,020xxx,P.O BOX 167-90100 MACHAKOS,MEDICAL CLINIC,LEVEL 2,0,MACHAKOS,Active,
GOLD LIGHT MEDICAL CLINIC,020xxx,P.O BOX 87275-80100 MOMBASA,MEDICAL CLINIC,LEVEL 2,0,MOMBASA,Active,
KENNYLAND MEDICAL CENTER LIMITED,020xxx,P.O BOX 2504-60200 MERU,MEDICAL CLINIC,LEVEL 2,0,MERU,Active,
BIN LIBAN HEALTHCARE LIMITED,020xxx,P.O BOX 19932-00100 NAIROBI,MEDICAL CENTRE,LEVEL 3B,25,NAIROBI,Active,
NEPHROCARE CLINIC LIMITED,020xxx,P.O BOX 12975-00400 NAIROBI,NURSING HOME,LEVEL 3A,0,NAKURU,Active,
WANANCHI EYE CLINIC & OPTICAL SERVICES LTD,020xxx,P.O BOX 38767-00600 NAIROBI,EYE CLINIC,LEVEL 2,0,NAIROBI,Active,
EQUITY AFIA KASARANI MEDICAL CENTRE,179xxx,P.O BOX 9393-01000 THIKA,MEDICAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
HINDI MAGOGONI DISPENSARY,GK-xxx,P.O BOX 45-80500 LAMU,MEDICAL CLINIC,LEVEL 2,0,LAMU,Active,
MATONDONI DISPENSARY,GK-xxx,P.O BOX 111-80500 LAMU,DISPENSARY,LEVEL 2,0,LAMU,Active,
MIJOMBONI DISPENSARY,GK-xxx,P.O BOX 9-80108 KILIFI,DISPENSARY,LEVEL 2,0,KILIFI,Active,
MAVUENI DISPENSARY,GK-xxx,P.O BOX 9-80108 KILIFI,DISPENSARY,LEVEL 2,0,KILIFI,Active,
COWDRAY DISPENSARY,GK-xxx,P.O BOX 9-80108 KILIFI,DISPENSARY,LEVEL 2,0,KILIFI,Active,
VIRAGONI DISPENSARY,GK-xxx,P.O BOX 38-80105 KALOLENI,DISPENSARY,LEVEL 2,0,KILIFI,Active,
MATSANGONI MODEL HEALTH CENTRE,GK-xxx,P.O BOX 9-80108 MATSANGONI,HEALTH CENTRE,LEVEL 3A,6,KILIFI,Active,
GEDE HEALTH CENTRE,GK-xxx,P.O BOX 519-80108 KILIFI,DISPENSARY,LEVEL 2,0,KILIFI,Active,
MURYACHAKWE DISPENSARY,GK-xxx,P.O BOX 25-80108 KILIFI,DISPENSARY,LEVEL 2,0,KILIFI,Active,
SHANGIA DISPENSARY,GK-xxx,P.O BOX 370-80113 MARIAKANI,DISPENSARY,LEVEL 2,0,KILIFI,Active,
MGAMBONI DISPENSARY,GK-xxx,P.O BOX 65-80105 KALOLENI,DISPENSARY,LEVEL 2,0,KILIFI,Active,
KAMKOMANI DISPENSARY,GK-xxx,P.O BOX 69-80113 MARIAKANI,DISPENSARY,LEVEL 2,0,KILIFI,Active,
KADAINA DISPENSARY,GK-xxx,P.O BOX 1016-80108 KILIFI,DISPENSARY,LEVEL 2,0,KILIFI,Active,
NDATANI DISPENSARY,GK-xxx,P.O BOX 100-80113 MARIAKANI,DISPENSARY,LEVEL 2,0,KILIFI,Active,
GANYURE DISPENSARY,GK-xxx,P.O BOX 2-70202 WAJIR,HEALTH CENTRE,LEVEL 3A,0,WAJIR,Active,
DUGO HEALTH CENTRE,GK-xxx,P.O BOX 2-70200 GUDO,HEALTH CENTRE,LEVEL 3A,0,WAJIR,Active,
KOCHOLWO SUB-COUNTY HOSPITAL,GK-xxx,P.O BOX 148-30129 CHEPKORIO,HEALTH CENTRE,LEVEL 3A,30,ELGEYO/ MARAKWET,Active,
CHESETAN HEALTH CENTRE,GK-xxx,P.O BOX 128-30705 KAPSOWAR,HEALTH CENTRE,LEVEL 3A,6,ELGEYO/ MARAKWET,Active,
KAPTUM DISPENSARY,GK-xxx,P.O BOX 33-30700 ITEN,DISPENSARY,LEVEL 2,0,ELGEYO/ MARAKWET,Active,
KYEVALUKI DISPENSARY,GK-xxx,P.O BOX 1179-90115 KANGUNDO,DISPENSARY,LEVEL 2,0,MACHAKOS,Active,
TIGOI HEALTH CENTRE,GK-xxx,P.O BOX 1084-50310 VIHIGA,HEALTH CENTRE,LEVEL 3A,11,VIHIGA,Active,
LIKINDU HEALTH CENTRE,GK-xxx,P.O BOX 7-50318 GAMBOGI,HEALTH CENTRE,LEVEL 3A,6,VIHIGA,Active,
KAPTISI DISPENSARY,GK-xxx,P.O BOX 172-50305 KAIMOSI,DISPENSARY,LEVEL 2,0,VIHIGA,Active,
MARTI DISPENSARY,GK-xxx,P.O BOX 65-20601 BARAGOI,DISPENSARY,LEVEL 2,0,SAMBURU,Active,
ENGASHURA HEALTH CENTRE,GK-xxx,P.O BOX 6231-20100 NAKURU,DISPENSARY,LEVEL 2,0,NAKURU,Active,
AINAMOI DISPENSARY,GK-xxx,P.O BOX 71-20100 NAKURU,DISPENSARY,LEVEL 2,0,NAKURU,Active,
OBUMBA DISPENSARY,GK-xxx,P.O BOX 4210-40103 KONDELE,MEDICAL CLINIC,LEVEL 2,6,KISUMU,Active,
KODIAGA PRISON HEALTH CENTRE,GK-xxx,P.O BOX 1923-40100 KISUMU,MEDICAL CLINIC,LEVEL 2,40,KISUMU,Active,
ELWASAMBI DISPENSARY,GK-xxx,P.O BOX 84-50106 SHIANDA,DISPENSARY,LEVEL 2,0,KAKAMEGA,Active,
KITITU DISPENSARY,GK-xxx,P.O BOX 646-90100 MACHAKOS,DISPENSARY,LEVEL 2,0,MACHAKOS,Active,
MUNDORO DISPENSARY,GK-xxx,P.O BOX 84- GATUNDU,DISPENSARY,LEVEL 2,0,KIAMBU,Active,
MADZIMBANI DISPENSARY,GK-xxx,P.O BOX 116- MARIAKANI,DISPENSARY,LEVEL 2,0,KILIFI,Active,
KASHMIR DISPENSARY,GK-xxx,P.O BOX 169-80500 LAMU,DISPENSARY,LEVEL 2,0,LAMU,Active,
KIDINYE DISPENSARY,GK-xxx,P.O BOX 193- MBALE,DISPENSARY,LEVEL 2,0,VIHIGA,Active,
MULUNDU DISPENSARY,GK-xxx,P.O BOX 44- KAIMOSI,DISPENSARY,LEVEL 2,0,VIHIGA,Active,
INGOBOR DISPENSARY,GK-xxx,P.O BOX 1214-20100 NAKURU,DISPENSARY,LEVEL 2,0,NAKURU,Active,
LAWINA DISPENSARY,GK-xxx,P.O BOX 809- MOLO,DISPENSARY,LEVEL 2,0,NAKURU,Active,
LUKHOME HEALTH CENTRE,GK-xxx,P.O BOX 98-30200 KITALE,HEALTH CENTRE,LEVEL 3A,6,TRANS NZOIA,Active,
WEONIA HEALTH CENTRE,GK-xxx,P.O BOX 790-30200 KITALE,HEALTH CENTRE,LEVEL 3A,6,TRANS NZOIA,Active,
MARINDA DISPENSARY,GK-xxx,P.O BOX 1094-30200 KITALE,DISPENSARY,LEVEL 2,0,TRANS NZOIA,Active,
BIKETI DISPENSARY,GK-xxx,P.O BOX 98-30200 KITALE,DISPENSARY,LEVEL 2,0,TRANS NZOIA,Active,
